"Cause","Cause group","Scenario","Age group (years)","Total expected avoidable deaths","Joint lower 95% simulation limit","Joint upper 95% simulation limit","Contributing cells","Interval method"
"Liver Cancer","Cancer","Volume -10%","30-44",0.304805368949921,0.236023686759342,0.389483823618431,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cancer","Cancer","Volume -10%","45-59",2.38953868337189,1.82646315546021,3.07872540030789,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cancer","Cancer","Volume -10%","60-65",1.79276616515247,1.32075322268427,2.40997555918735,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cirrhosis","Other causes","Volume -10%","15-29",2.72356951951694,1.96507967389852,3.60944535443345,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cirrhosis","Other causes","Volume -10%","30-44",81.2351277766242,59.0178238889719,106.17727618062,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cirrhosis","Other causes","Volume -10%","45-59",375.098245491338,268.917615769416,487.70141054857,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cirrhosis","Other causes","Volume -10%","60-65",100.748268500583,62.4563473268662,150.292021764887,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Lower Respiratory Infection","Other causes","Volume -10%","15-29",0.500674229265432,0.355757661351087,0.692088824564214,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Lower Respiratory Infection","Other causes","Volume -10%","30-44",2.26475072817902,1.56840107826196,3.18145829561043,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Lower Respiratory Infection","Other causes","Volume -10%","45-59",6.49712622396932,4.43493807224285,9.3057088740848,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
