Year	disease	sex	age_group	AAF	LL	UL	muertes	att_mort	att_mort_low	att_mort_up
2012	Oesophagus Cancer	Male	30-44	0.16304139536682175	0.07244100372768805	0.27392446425407646	5	1	0	1
2012	Oesophagus Cancer	Male	45-59	0.18659212526595867	0.08231641580782634	0.3067640043297771	46	9	4	14
2012	Oesophagus Cancer	Male	60+	0.1425093206029786	0.01479207816704056	0.2905044428683995	345	49	5	100
2014	Oesophagus Cancer	Female	15-29	0.11510745868397428	-0.0337873309633335	0.2767599236528078	0	0	-0	0
2014	Oesophagus Cancer	Female	30-44	0.12194858674516804	-0.02850701204565666	0.2875300622624361	2	0	-0	1
2014	Oesophagus Cancer	Female	45-59	0.10098668238711375	-0.056843360502157145	0.27702206494023923	22	2	-1	6
2014	Oesophagus Cancer	Female	60+	0.0910466090388797	-0.06144280086691011	0.2653375694907889	250	23	-15	66
2014	Oesophagus Cancer	Male	15-29	0.19362194685146386	0.10236993494447118	0.29718865550795465	0	0	0	0
2014	Oesophagus Cancer	Male	30-44	0.21157298242942155	0.12242985012092607	0.3130888607605545	1	0	0	0
2014	Oesophagus Cancer	Male	45-59	0.19825957352312426	0.08232471614065139	0.3276007888897383	39	8	3	13
2014	Oesophagus Cancer	Male	60+	0.17481811746476933	0.04640499441754366	0.3119441982428292	336	59	16	105
2016	Oesophagus Cancer	Female	15-29	0.10780863803567106	-0.028898474841699617	0.2719864336815316	0	0	-0	0
2016	Oesophagus Cancer	Female	30-44	0.1183937807348833	-0.05094061574650092	0.2930701914813963	0	0	-0	0
2016	Oesophagus Cancer	Female	45-59	0.0906175759400154	-0.09661185840014484	0.2860215045477277	17	2	-2	5
2016	Oesophagus Cancer	Female	60+	0.08713027634958584	-0.10333683261963905	0.2829624888014572	202	18	-21	57
2016	Oesophagus Cancer	Male	15-29	0.16923478192923155	0.06913355681821691	0.28761913193372857	1	0	0	0
2016	Oesophagus Cancer	Male	30-44	0.1776353165230824	0.07058982750341548	0.30071196294469343	4	1	0	1
2016	Oesophagus Cancer	Male	45-59	0.18438789695326607	0.061426875443099334	0.3195636469603009	46	8	3	15
2016	Oesophagus Cancer	Male	60+	0.14015439719604322	-0.025360191244046145	0.3170320654794196	380	53	-10	120
2018	Oesophagus Cancer	Female	15-29	0.09910592071205504	-0.05760321230950778	0.27213922495367693	0	0	-0	0
2018	Oesophagus Cancer	Female	30-44	0.09572592151249548	-0.07349837638783306	0.27739263361681704	1	0	-0	0
2018	Oesophagus Cancer	Female	45-59	0.08787277883011478	-0.11866511202120532	0.2928395477910542	17	1	-2	5
2018	Oesophagus Cancer	Female	60+	0.0876883690038611	-0.11619080253417577	0.2936378591528447	227	20	-26	67
2018	Oesophagus Cancer	Male	15-29	0.1571209528676753	0.05103156707253647	0.284729504159326	0	0	0	0
2018	Oesophagus Cancer	Male	30-44	0.1795997105381673	0.07859116913418379	0.29971630844969105	4	1	0	1
2018	Oesophagus Cancer	Male	45-59	0.17744554879969307	0.06008793367897404	0.30874268730924553	37	7	2	11
2018	Oesophagus Cancer	Male	60+	0.1361414858652721	-0.026589787733682407	0.3116416515444079	354	48	-9	110
2020	Oesophagus Cancer	Female	15-29	0.11664135154526281	-0.05527581047190966	0.29742344662960646	1	0	-0	0
2020	Oesophagus Cancer	Female	30-44	0.10556118836016284	-0.06377691823749451	0.2843761921583505	0	0	-0	0
2020	Oesophagus Cancer	Female	45-59	0.11300823957331081	-0.0708608464619903	0.3088530226188914	13	1	-1	4
